日期,商品类目,销售额,订单量,广告花费,退货率
2026-07-06,休闲零食,128600,864,15200,3.2%
2026-07-13,休闲零食,131200,882,16300,3.1%
2026-07-20,休闲零食,125400,841,15800,3.4%
2026-07-27,休闲零食,119800,802,14900,3.6%
2026-08-03,休闲零食,141500,926,17800,2.9%
2026-08-10,休闲零食,156200,1013,21500,2.6%
2026-08-17,休闲零食,168900,1098,25600,2.4%
2026-08-24,休闲零食,172400,1121,27300,2.3%
2026-08-31,休闲零食,161700,1054,24100,2.8%
2026-07-06,饮料冲调,98200,703,9800,4.1%
2026-07-13,饮料冲调,101500,724,10200,3.9%
2026-07-20,饮料冲调,96300,689,9700,4.2%
2026-07-27,饮料冲调,90700,651,9100,4.4%
2026-08-03,饮料冲调,109400,778,11800,3.7%
2026-08-10,饮料冲调,121600,846,13900,3.4%
2026-08-17,饮料冲调,133200,912,16200,3.1%
2026-08-24,饮料冲调,127500,879,15100,3.5%
2026-08-31,饮料冲调,118900,823,13400,3.8%
2026-07-06,方便速食,74500,512,7300,5.2%
2026-07-13,方便速食,78200,536,7600,5.0%
2026-07-20,方便速食,71900,498,7100,5.4%
2026-07-27,方便速食,68800,472,6800,5.6%
2026-08-03,方便速食,83400,569,8800,4.8%
2026-08-10,方便速食,91600,621,10200,4.5%
2026-08-17,方便速食,98200,664,11500,4.2%
2026-08-24,方便速食,94500,643,10900,4.6%
2026-08-31,方便速食,87200,594,9400,4.9%
